C, tp=0, ts=0, x0=1000001, x1=1000007
B, tp=0, ts=0, x0=510281978, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000005
A, tp=0, ts=0, x0=8, x1=177376714
B, tp=0, ts=0, x0=177376714, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000125
C, tp=0, ts=0, x0=1000001, x1=1000006
C, tp=0, ts=0, x0=1000001, x1=1000007
B, tp=0, ts=0, x0=853573728, x1=1
B, tp=0, ts=0, x0=935193031, x1=1
B, tp=0, ts=0, x0=346504891, x1=5
B, tp=0, ts=0, x0=256652893, x1=5
C, tp=0, ts=0, x0=1000002, x1=1000004
B, tp=0, ts=0, x0=710942937, x1=2
B, tp=0, ts=0, x0=65250917, x1=4
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=69473248, x1=1
B, tp=0, ts=0, x0=1094704, x1=1
B, tp=0, ts=0, x0=852588185, x1=1
B, tp=0, ts=0, x0=138767715, x1=1
B, tp=0, ts=0, x0=703104999, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000035
B, tp=0, ts=0, x0=160028537, x1=1
C, tp=0, ts=0, x0=1000015, x1=1000004
A, tp=0, ts=0, x0=4, x1=635277759
A, tp=0, ts=0, x0=21, x1=823235585
B, tp=0, ts=0, x0=354900408, x1=1
B, tp=0, ts=0, x0=268024045, x1=1
B, tp=0, ts=0, x0=693895467, x1=2
B, tp=0, ts=0, x0=905219186, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000874
B, tp=0, ts=0, x0=671487519, x1=1
B, tp=0, ts=0, x0=663741592, x1=1
B, tp=0, ts=0, x0=36012102, x1=2
B, tp=0, ts=0, x0=492383821, x1=1
B, tp=0, ts=0, x0=438127221, x1=3
C, tp=0, ts=0, x0=1000001, x1=1000009
C, tp=0, ts=0, x0=1000001, x1=1000234
C, tp=0, ts=0, x0=1000001, x1=1000005
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000006
B, tp=0, ts=0, x0=56816296, x1=1
B, tp=0, ts=0, x0=317842052, x1=1
B, tp=0, ts=0, x0=7592207, x1=7
B, tp=0, ts=0, x0=179701764, x1=1
B, tp=0, ts=0, x0=608677351, x1=2
C, tp=0, ts=0, x0=1000001, x1=1000008
B, tp=0, ts=0, x0=342986878, x1=1
B, tp=0, ts=0, x0=942252596, x1=40
B, tp=0, ts=0, x0=10094673, x1=6
B, tp=0, ts=0, x0=218719639, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=354107179, x1=3
A, tp=0, ts=0, x0=5, x1=131550010
B, tp=0, ts=0, x0=874378749, x1=2
B, tp=0, ts=0, x0=901893967, x1=17
B, tp=0, ts=0, x0=879812798, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=38217657, x1=1
A, tp=0, ts=0, x0=4, x1=626199108
B, tp=0, ts=0, x0=626199108, x1=3
B, tp=0, ts=0, x0=128006765, x1=1
B, tp=0, ts=0, x0=829977399, x1=2
B, tp=0, ts=0, x0=329106589, x1=2
B, tp=0, ts=0, x0=162924352, x1=1
B, tp=0, ts=0, x0=345545358, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000011
A, tp=0, ts=0, x0=12, x1=928238545
B, tp=0, ts=0, x0=247229029, x1=1
B, tp=0, ts=0, x0=365119902, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000007
B, tp=0, ts=0, x0=530979398, x1=1
B, tp=0, ts=0, x0=495504187, x1=2
B, tp=0, ts=0, x0=916909021, x1=2
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000010
B, tp=0, ts=0, x0=776945631, x1=3
B, tp=0, ts=0, x0=18175168, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000032
B, tp=0, ts=0, x0=84465929, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000004
C, tp=0, ts=0, x0=1000007, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000002, x1=1000004
A, tp=0, ts=0, x0=4, x1=882839017
C, tp=0, ts=0, x0=1000007, x1=1000021
C, tp=0, ts=0, x0=1000001, x1=1000006
C, tp=0, ts=0, x0=1000001, x1=1000024
B, tp=0, ts=0, x0=737340461, x1=2
B, tp=0, ts=0, x0=778625433, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000005
A, tp=0, ts=0, x0=4, x1=566732582
C, tp=0, ts=0, x0=1000001, x1=1000006
B, tp=0, ts=0, x0=37577096, x1=2
C, tp=0, ts=0, x0=1000001, x1=1000243
B, tp=0, ts=0, x0=138511887, x1=2
C, tp=0, ts=0, x0=1000001, x1=1000008
B, tp=0, ts=0, x0=127300205, x1=1
B, tp=0, ts=0, x0=492272532, x1=6
C, tp=0, ts=0, x0=1000002, x1=1000006
C, tp=0, ts=0, x0=1000002, x1=1000444
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=298806222, x1=3
B, tp=0, ts=0, x0=856563616, x1=1
A, tp=0, ts=0, x0=4, x1=854463866
B, tp=0, ts=0, x0=448796937, x1=18
B, tp=0, ts=0, x0=402995491, x1=2
B, tp=0, ts=0, x0=966978381, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000002, x1=1000004
B, tp=0, ts=0, x0=185346402, x1=1
A, tp=0, ts=0, x0=4, x1=161100226
C, tp=0, ts=0, x0=1000002, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=249735995, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000004
A, tp=0, ts=0, x0=18, x1=819973774
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=871168067, x1=1
C, tp=0, ts=0, x0=1000005, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000013
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000002, x1=1000009
B, tp=0, ts=0, x0=463024627, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000016
B, tp=0, ts=0, x0=599635722, x1=6
B, tp=0, ts=0, x0=373000337, x1=1
B, tp=0, ts=0, x0=802591898, x1=6
B, tp=0, ts=0, x0=76711143, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000004
A, tp=0, ts=0, x0=86, x1=717012762
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000002, x1=1000004
B, tp=0, ts=0, x0=947210394, x1=3
B, tp=0, ts=0, x0=75199579, x1=75
C, tp=0, ts=0, x0=1000002, x1=1000005
C, tp=0, ts=0, x0=1000037, x1=1000004
A, tp=0, ts=0, x0=4, x1=351104582
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000017, x1=1000004
B, tp=0, ts=0, x0=733107650, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=152135697, x1=1
B, tp=0, ts=0, x0=9840513, x1=1
B, tp=0, ts=0, x0=789281749, x1=2
C, tp=0, ts=0, x0=1000001, x1=1000057
C, tp=0, ts=0, x0=1000001, x1=1000007
C, tp=0, ts=0, x0=1000001, x1=1001717
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=467773340, x1=3
B, tp=0, ts=0, x0=164470592, x1=12
B, tp=0, ts=0, x0=327275932, x1=29
B, tp=0, ts=0, x0=728254709, x1=1
B, tp=0, ts=0, x0=739074385, x1=2
C, tp=0, ts=0, x0=1000001, x1=1002851
C, tp=0, ts=0, x0=1000001, x1=1000018
C, tp=0, ts=0, x0=1000004, x1=1000041
B, tp=0, ts=0, x0=259504913, x1=1
B, tp=0, ts=0, x0=504765181, x1=1
B, tp=0, ts=0, x0=453842077, x1=1
B, tp=0, ts=0, x0=50997262, x1=3
A, tp=0, ts=0, x0=9, x1=288518290
C, tp=0, ts=0, x0=1000002, x1=1000004
B, tp=0, ts=0, x0=921045849, x1=2
B, tp=0, ts=0, x0=460121673, x1=2
B, tp=0, ts=0, x0=913277822, x1=8
B, tp=0, ts=0, x0=931488134, x1=1
B, tp=0, ts=0, x0=888325272, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000005
A, tp=0, ts=0, x0=4, x1=95106941
B, tp=0, ts=0, x0=589973346, x1=2
B, tp=0, ts=0, x0=526016009, x1=43
B, tp=0, ts=0, x0=328174757, x1=1
B, tp=0, ts=0, x0=849665003, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000002, x1=1000011
B, tp=0, ts=0, x0=213420866, x1=3
B, tp=0, ts=0, x0=825329364, x1=2
C, tp=0, ts=0, x0=1000001, x1=1000019
B, tp=0, ts=0, x0=242688461, x1=1
B, tp=0, ts=0, x0=205646635, x1=2
B, tp=0, ts=0, x0=876620422, x1=1
B, tp=0, ts=0, x0=28390994, x1=2
B, tp=0, ts=0, x0=122796188, x1=1
C, tp=0, ts=0, x0=1000003, x1=1000009
C, tp=0, ts=0, x0=1000002, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000005
B, tp=0, ts=0, x0=836740409, x1=5
B, tp=0, ts=0, x0=1925266, x1=1
B, tp=0, ts=0, x0=502769387, x1=10
C, tp=0, ts=0, x0=1000004, x1=1000004
C, tp=0, ts=0, x0=1000002, x1=1000006
C, tp=0, ts=0, x0=1000225, x1=1000004
B, tp=0, ts=0, x0=576967437, x1=2
C, tp=0, ts=0, x0=1000001, x1=1000187
C, tp=0, ts=0, x0=1000003, x1=1000134
B, tp=0, ts=0, x0=350960732, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000007
B, tp=0, ts=0, x0=145392856, x1=4
B, tp=0, ts=0, x0=40484627, x1=2
C, tp=0, ts=0, x0=1000001, x1=1000108
B, tp=0, ts=0, x0=391636661, x1=2
B, tp=0, ts=0, x0=833666608, x1=6
B, tp=0, ts=0, x0=93248487, x1=8
B, tp=0, ts=0, x0=108281116, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000497
A, tp=0, ts=0, x0=4, x1=40446854
B, tp=0, ts=0, x0=40446854, x1=1
B, tp=0, ts=0, x0=349100028, x1=1
B, tp=0, ts=0, x0=41662974, x1=1
B, tp=0, ts=0, x0=17749060, x1=5
C, tp=0, ts=0, x0=1000001, x1=1000053
B, tp=0, ts=0, x0=345412631, x1=10
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000021
B, tp=0, ts=0, x0=483683317, x1=3
C, tp=0, ts=0, x0=1000001, x1=1000019
B, tp=0, ts=0, x0=669194714, x1=3
B, tp=0, ts=0, x0=576201674, x1=1
B, tp=0, ts=0, x0=659733482, x1=1
A, tp=0, ts=0, x0=33, x1=683164892
B, tp=0, ts=0, x0=351579411, x1=4
B, tp=0, ts=0, x0=223540112, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000045
B, tp=0, ts=0, x0=125694117, x1=2
A, tp=0, ts=0, x0=8, x1=121959866
C, tp=0, ts=0, x0=1000002, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000002, x1=1000006
B, tp=0, ts=0, x0=375071955, x1=2
B, tp=0, ts=0, x0=868890265, x1=3
B, tp=0, ts=0, x0=216694732, x1=4
B, tp=0, ts=0, x0=767204057, x1=2
B, tp=0, ts=0, x0=773794744, x1=1
B, tp=0, ts=0, x0=251285485, x1=1
B, tp=0, ts=0, x0=736117258, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=367097675, x1=2
C, tp=0, ts=0, x0=1000001, x1=1000006
B, tp=0, ts=0, x0=104541141, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000968
B, tp=0, ts=0, x0=987688045, x1=12
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=257156414, x1=2
B, tp=0, ts=0, x0=345652452, x1=1
A, tp=0, ts=0, x0=4, x1=109490226
C, tp=0, ts=0, x0=1000002, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000004
A, tp=0, ts=0, x0=4, x1=985094954
B, tp=0, ts=0, x0=985094954, x1=4
C, tp=0, ts=0, x0=1000005, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000005
B, tp=0, ts=0, x0=810070911, x1=1
B, tp=0, ts=0, x0=151128920, x1=2
C, tp=0, ts=0, x0=1000003, x1=1000006
B, tp=0, ts=0, x0=598729307, x1=2
B, tp=0, ts=0, x0=231747723, x1=4
C, tp=0, ts=0, x0=1000003, x1=1000004
C, tp=0, ts=0, x0=1000008, x1=1000015
B, tp=0, ts=0, x0=571074089, x1=3
B, tp=0, ts=0, x0=804290436, x1=6
C, tp=0, ts=0, x0=1000002, x1=1000004
B, tp=0, ts=0, x0=311563450, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000005
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000014, x1=1000114
C, tp=0, ts=0, x0=1000001, x1=1000012
B, tp=0, ts=0, x0=219705282, x1=1
C, tp=0, ts=0, x0=1000008, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000007
A, tp=0, ts=0, x0=4, x1=749142778
B, tp=0, ts=0, x0=533814958, x1=1
A, tp=0, ts=0, x0=11, x1=52937374
B, tp=0, ts=0, x0=312111712, x1=18
B, tp=0, ts=0, x0=87433186, x1=1
B, tp=0, ts=0, x0=503786439, x1=1
B, tp=0, ts=0, x0=772096021, x1=1
B, tp=0, ts=0, x0=38684128, x1=1
B, tp=0, ts=0, x0=665246340, x1=1
C, tp=0, ts=0, x0=1000012, x1=1000052
B, tp=0, ts=0, x0=440597857, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000004
B, tp=0, ts=0, x0=775568992, x1=2
C, tp=0, ts=0, x0=1000003, x1=1000005
C, tp=0, ts=0, x0=1000001, x1=1000011
C, tp=0, ts=0, x0=1000005, x1=1000004
B, tp=0, ts=0, x0=520564082, x1=1
C, tp=0, ts=0, x0=1000060, x1=1000009
B, tp=0, ts=0, x0=134627124, x1=6
B, tp=0, ts=0, x0=672897082, x1=1
B, tp=0, ts=0, x0=295914023, x1=3
B, tp=0, ts=0, x0=526214026, x1=2
B, tp=0, ts=0, x0=289743067, x1=5
B, tp=0, ts=0, x0=133443138, x1=2
B, tp=0, ts=0, x0=77477873, x1=1
B, tp=0, ts=0, x0=235293505, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000005
C, tp=0, ts=0, x0=1000005, x1=1000008
B, tp=0, ts=0, x0=448781611, x1=1
B, tp=0, ts=0, x0=846052327, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000011
B, tp=0, ts=0, x0=905269914, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000005
C, tp=0, ts=0, x0=1000001, x1=1000004
A, tp=0, ts=0, x0=5, x1=567194767
B, tp=0, ts=0, x0=926485858, x1=1
B, tp=0, ts=0, x0=507541930, x1=8
B, tp=0, ts=0, x0=58457732, x1=2
C, tp=0, ts=0, x0=1000003, x1=1000009
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000005
B, tp=0, ts=0, x0=286102414, x1=1
B, tp=0, ts=0, x0=240868952, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000005
C, tp=0, ts=0, x0=1000003, x1=1000005
C, tp=0, ts=0, x0=1000001, x1=1000004
A, tp=0, ts=0, x0=4, x1=670138646
B, tp=0, ts=0, x0=331365288, x1=1
B, tp=0, ts=0, x0=825884732, x1=1
B, tp=0, ts=0, x0=227690004, x1=1
B, tp=0, ts=0, x0=415315881, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000005
C, tp=0, ts=0, x0=1000004, x1=1000190
B, tp=0, ts=0, x0=706267822, x1=4
C, tp=0, ts=0, x0=1000012, x1=1000010
B, tp=0, ts=0, x0=919691767, x1=1
B, tp=0, ts=0, x0=994777427, x1=1
A, tp=0, ts=0, x0=404, x1=149011262
B, tp=0, ts=0, x0=165061676, x1=1
C, tp=0, ts=0, x0=1000243, x1=1000005
A, tp=0, ts=0, x0=4, x1=8988
A, tp=0, ts=0, x0=4, x1=824541331
A, tp=0, ts=0, x0=4, x1=892621026
B, tp=0, ts=0, x0=353895551, x1=2
A, tp=0, ts=0, x0=4, x1=756839453
C, tp=0, ts=0, x0=1000002, x1=1000004
B, tp=0, ts=0, x0=193607426, x1=3
B, tp=0, ts=0, x0=566223657, x1=1
A, tp=0, ts=0, x0=32, x1=6027543
B, tp=0, ts=0, x0=555533979, x1=1
B, tp=0, ts=0, x0=196977100, x1=1
B, tp=0, ts=0, x0=225440603, x1=1
A, tp=0, ts=0, x0=14, x1=383548247
B, tp=0, ts=0, x0=842878727, x1=1
B, tp=0, ts=0, x0=266707859, x1=2
B, tp=0, ts=0, x0=139021315, x1=2
B, tp=0, ts=0, x0=489159879, x1=1
B, tp=0, ts=0, x0=381765243, x1=3
B, tp=0, ts=0, x0=693149411, x1=1
B, tp=0, ts=0, x0=731343229, x1=1
B, tp=0, ts=0, x0=163535602, x1=1
B, tp=0, ts=0, x0=874955945, x1=6
B, tp=0, ts=0, x0=663967505, x1=1
C, tp=0, ts=0, x0=1000043, x1=1000004
B, tp=0, ts=0, x0=567400970, x1=1
B, tp=0, ts=0, x0=622813243, x1=2
B, tp=0, ts=0, x0=122874327, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000006
B, tp=0, ts=0, x0=878420357, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=187992844, x1=1
B, tp=0, ts=0, x0=85951603, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000037
B, tp=0, ts=0, x0=899873822, x1=5
C, tp=0, ts=0, x0=1000001, x1=1000005
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=706794650, x1=2
C, tp=0, ts=0, x0=1000001, x1=1000007
B, tp=0, ts=0, x0=833758291, x1=2
B, tp=0, ts=0, x0=975493626, x1=3
A, tp=0, ts=0, x0=35, x1=964814414
B, tp=0, ts=0, x0=150535103, x1=1
B, tp=0, ts=0, x0=847189535, x1=1
B, tp=0, ts=0, x0=650874, x1=1
C, tp=0, ts=0, x0=1000043, x1=1000024
B, tp=0, ts=0, x0=586926789, x1=1
B, tp=0, ts=0, x0=689670874, x1=1
C, tp=0, ts=0, x0=1000004, x1=1000005
B, tp=0, ts=0, x0=218722673, x1=1
B, tp=0, ts=0, x0=167885064, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000044
C, tp=0, ts=0, x0=1000003, x1=1000066
C, tp=0, ts=0, x0=1000001, x1=1000005
B, tp=0, ts=0, x0=858504442, x1=1
B, tp=0, ts=0, x0=146892064, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000042
B, tp=0, ts=0, x0=611472003, x1=1
B, tp=0, ts=0, x0=702390339, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000007
B, tp=0, ts=0, x0=627084562, x1=1
B, tp=0, ts=0, x0=407039271, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=158623448, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=628933208, x1=4
C, tp=0, ts=0, x0=1000001, x1=1000007
B, tp=0, ts=0, x0=935354555, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000001, x1=1000006
C, tp=0, ts=0, x0=1000001, x1=1000011
B, tp=0, ts=0, x0=44724778, x1=1
C, tp=0, ts=0, x0=1000010, x1=1000004
C, tp=0, ts=0, x0=1000002, x1=1000006
C, tp=0, ts=0, x0=1000001, x1=1000473
B, tp=0, ts=0, x0=299322697, x1=4
B, tp=0, ts=0, x0=356648027, x1=3
C, tp=0, ts=0, x0=1000001, x1=1000028
A, tp=0, ts=0, x0=8, x1=950102449
B, tp=0, ts=0, x0=384964162, x1=1
B, tp=0, ts=0, x0=906748708, x1=1
B, tp=0, ts=0, x0=258176001, x1=1
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=771739324, x1=1
C, tp=0, ts=0, x0=1000003, x1=1000007
C, tp=0, ts=0, x0=1000001, x1=1000004
B, tp=0, ts=0, x0=969553544, x1=177
B, tp=0, ts=0, x0=652275721, x1=1
B, tp=0, ts=0, x0=472511222, x1=2
C, tp=0, ts=0, x0=1000001, x1=1000004
C, tp=0, ts=0, x0=1000002, x1=1000004
B, tp=0, ts=0, x0=96664923, x1=1
A, tp=0, ts=0, x0=5, x1=299168135
A, tp=0, ts=0, x0=4, x1=797217649
C, tp=0, ts=0, x0=1000001, x1=1000004
A, tp=0, ts=0, x0=81, x1=646438234
C, tp=0, ts=0, x0=1000001, x1=1000005
B, tp=0, ts=0, x0=491334863, x1=1
B, tp=0, ts=0, x0=887030514, x1=77
B, tp=0, ts=0, x0=620373247, x1=1
C, tp=0, ts=0, x0=1000002, x1=1000005
B, tp=0, ts=0, x0=908338734, x1=1
B, tp=0, ts=0, x0=352674902, x1=1
C, tp=0, ts=0, x0=1000007, x1=1000132
C, tp=0, ts=0, x0=1000001, x1=1000005
A, tp=0, ts=0, x0=24, x1=705587761
B, tp=0, ts=0, x0=311834541, x1=1
B, tp=0, ts=0, x0=462164555, x1=1
A, tp=0, ts=0, x0=6, x1=968657310
B, tp=0, ts=0, x0=828048087, x1=2
B, tp=0, ts=0, x0=447033730, x1=1
A, tp=0, ts=0, x0=4, x1=64324883
C, tp=0, ts=0, x0=1000002, x1=1000007
