C, tp=0, ts=0, x0=373321178, x1=1000005
B, tp=0, ts=0, x0=191530905, x1=881352910
B, tp=0, ts=0, x0=628093760, x1=290590525
C, tp=0, ts=0, x0=992086086, x1=1000009
A, tp=0, ts=0, x0=515624411, x1=8
B, tp=0, ts=0, x0=758027912, x1=22970499
A, tp=0, ts=0, x0=234198412, x1=671321676
B, tp=0, ts=0, x0=409799247, x1=75456018
C, tp=0, ts=0, x0=554859708, x1=1000001
B, tp=0, ts=0, x0=54248847, x1=619099170
C, tp=0, ts=0, x0=405073702, x1=1000001
B, tp=0, ts=0, x0=225997902, x1=183995715
A, tp=0, ts=0, x0=404895094, x1=4
B, tp=0, ts=0, x0=194406284, x1=94499644
B, tp=0, ts=0, x0=805022273, x1=433279973
B, tp=0, ts=0, x0=720317635, x1=702068620
B, tp=0, ts=0, x0=130028964, x1=413487603
B, tp=0, ts=0, x0=855472932, x1=517082566
B, tp=0, ts=0, x0=644022113, x1=759067870
C, tp=0, ts=0, x0=229703727, x1=1000001
B, tp=0, ts=0, x0=26082932, x1=523781374
C, tp=0, ts=0, x0=448471958, x1=1000001
B, tp=0, ts=0, x0=430085063, x1=812341902
C, tp=0, ts=0, x0=800764066, x1=1000001
B, tp=0, ts=0, x0=571572986, x1=542079756
B, tp=0, ts=0, x0=622214378, x1=21954834
C, tp=0, ts=0, x0=583518684, x1=1000001
C, tp=0, ts=0, x0=402685836, x1=1000002
C, tp=0, ts=0, x0=934143732, x1=1000003
C, tp=0, ts=0, x0=55189268, x1=1000001
C, tp=0, ts=0, x0=815393979, x1=1000001
C, tp=0, ts=0, x0=350648809, x1=1000001
B, tp=0, ts=0, x0=890625569, x1=538778967
B, tp=0, ts=0, x0=141720055, x1=511496957
C, tp=0, ts=0, x0=369718046, x1=1000001
C, tp=0, ts=0, x0=384167872, x1=1000001
B, tp=0, ts=0, x0=428453673, x1=673109890
B, tp=0, ts=0, x0=881166108, x1=897091140
B, tp=0, ts=0, x0=30049184, x1=720202514
C, tp=0, ts=0, x0=782258231, x1=1000003
B, tp=0, ts=0, x0=40135155, x1=207069283
B, tp=0, ts=0, x0=516863565, x1=920488749
B, tp=0, ts=0, x0=453543751, x1=37177366
A, tp=0, ts=0, x0=160877148, x1=4
C, tp=0, ts=0, x0=167447574, x1=1000001
B, tp=0, ts=0, x0=592550046, x1=608747672
B, tp=0, ts=0, x0=642790628, x1=807252508
C, tp=0, ts=0, x0=531956776, x1=1000002
C, tp=0, ts=0, x0=566844833, x1=1000008
A, tp=0, ts=0, x0=175107765, x1=912095365
B, tp=0, ts=0, x0=805238012, x1=689547712
B, tp=0, ts=0, x0=472890140, x1=932761933
C, tp=0, ts=0, x0=471859754, x1=1000001
B, tp=0, ts=0, x0=645489020, x1=595796523
B, tp=0, ts=0, x0=806973169, x1=252669970
B, tp=0, ts=0, x0=66653286, x1=752567726
B, tp=0, ts=0, x0=713601354, x1=407155562
B, tp=0, ts=0, x0=144963622, x1=503791889
A, tp=0, ts=0, x0=8031162, x1=206179259
B, tp=0, ts=0, x0=562309088, x1=632372551
B, tp=0, ts=0, x0=345522830, x1=382866306
B, tp=0, ts=0, x0=445931084, x1=574399157
B, tp=0, ts=0, x0=433487082, x1=317888485
C, tp=0, ts=0, x0=250756106, x1=1000001
B, tp=0, ts=0, x0=247451804, x1=829693333
B, tp=0, ts=0, x0=669329004, x1=636597276
B, tp=0, ts=0, x0=166829821, x1=643444160
C, tp=0, ts=0, x0=540598866, x1=1000001
C, tp=0, ts=0, x0=123410650, x1=1000003
B, tp=0, ts=0, x0=848871348, x1=273997774
B, tp=0, ts=0, x0=832292528, x1=142391313
B, tp=0, ts=0, x0=51482212, x1=171706701
C, tp=0, ts=0, x0=795096276, x1=1000001
B, tp=0, ts=0, x0=750326500, x1=613448332
B, tp=0, ts=0, x0=32148220, x1=834180501
A, tp=0, ts=0, x0=431237503, x1=4
C, tp=0, ts=0, x0=68181747, x1=1000003
C, tp=0, ts=0, x0=779518832, x1=1000001
C, tp=0, ts=0, x0=521995717, x1=1000002
B, tp=0, ts=0, x0=481089797, x1=377884565
C, tp=0, ts=0, x0=393544776, x1=1000001
C, tp=0, ts=0, x0=692706250, x1=1000001
B, tp=0, ts=0, x0=79081407, x1=540090968
C, tp=0, ts=0, x0=500447516, x1=1000003
B, tp=0, ts=0, x0=628471038, x1=52602782
C, tp=0, ts=0, x0=427563199, x1=1000001
C, tp=0, ts=0, x0=464930593, x1=1000005
A, tp=0, ts=0, x0=15142361, x1=44
B, tp=0, ts=0, x0=15142361, x1=86578035
B, tp=0, ts=0, x0=75237482, x1=324667610
C, tp=0, ts=0, x0=957676939, x1=1000001
C, tp=0, ts=0, x0=971873277, x1=1000001
B, tp=0, ts=0, x0=287824258, x1=649648867
B, tp=0, ts=0, x0=160028534, x1=965469732
C, tp=0, ts=0, x0=479181615, x1=1000015
B, tp=0, ts=0, x0=179248493, x1=796804101
C, tp=0, ts=0, x0=974751949, x1=1000001
C, tp=0, ts=0, x0=823235585, x1=1000001
C, tp=0, ts=0, x0=144967416, x1=1000004
C, tp=0, ts=0, x0=183838547, x1=1000001
C, tp=0, ts=0, x0=96070613, x1=1000002
B, tp=0, ts=0, x0=400825333, x1=905219186
C, tp=0, ts=0, x0=468959395, x1=1000001
A, tp=0, ts=0, x0=425257936, x1=6
B, tp=0, ts=0, x0=663741589, x1=992440822
B, tp=0, ts=0, x0=81875594, x1=36012102
B, tp=0, ts=0, x0=420041655, x1=539384380
C, tp=0, ts=0, x0=464327748, x1=1000003
C, tp=0, ts=0, x0=982734580, x1=1000001
B, tp=0, ts=0, x0=389607354, x1=506123058
B, tp=0, ts=0, x0=383700687, x1=107197180
C, tp=0, ts=0, x0=853073828, x1=1000001
B, tp=0, ts=0, x0=785772839, x1=732506262
C, tp=0, ts=0, x0=736631212, x1=1000001
C, tp=0, ts=0, x0=954539515, x1=1000002
B, tp=0, ts=0, x0=892564224, x1=637024056
B, tp=0, ts=0, x0=317842049, x1=36632143
C, tp=0, ts=0, x0=913687805, x1=1000001
C, tp=0, ts=0, x0=530665635, x1=1000001
C, tp=0, ts=0, x0=449527791, x1=1000002
C, tp=0, ts=0, x0=577682907, x1=1000001
B, tp=0, ts=0, x0=853824523, x1=366215524
C, tp=0, ts=0, x0=409642959, x1=1000002
A, tp=0, ts=0, x0=850236109, x1=42
B, tp=0, ts=0, x0=218719636, x1=304804233
C, tp=0, ts=0, x0=983213232, x1=1000001
C, tp=0, ts=0, x0=236297504, x1=1000011
C, tp=0, ts=0, x0=1760702, x1=1000001
B, tp=0, ts=0, x0=39682413, x1=334944524
B, tp=0, ts=0, x0=708289501, x1=930557781
B, tp=0, ts=0, x0=901893964, x1=74784840
B, tp=0, ts=0, x0=151325452, x1=879812798
A, tp=0, ts=0, x0=74447440, x1=13
A, tp=0, ts=0, x0=38217654, x1=4
B, tp=0, ts=0, x0=202148014, x1=642754143
B, tp=0, ts=0, x0=669702208, x1=849090423
B, tp=0, ts=0, x0=256742142, x1=651742738
B, tp=0, ts=0, x0=798973444, x1=183452341
B, tp=0, ts=0, x0=329106586, x1=570844165
A, tp=0, ts=0, x0=187560055, x1=5
B, tp=0, ts=0, x0=488526370, x1=928169435
B, tp=0, ts=0, x0=595088027, x1=945686010
A, tp=0, ts=0, x0=535605844, x1=4
B, tp=0, ts=0, x0=247229026, x1=979636009
B, tp=0, ts=0, x0=4743586, x1=365119902
B, tp=0, ts=0, x0=603488313, x1=802286313
B, tp=0, ts=0, x0=736112293, x1=553457613
C, tp=0, ts=0, x0=973468725, x1=1000001
B, tp=0, ts=0, x0=676999386, x1=682435469
B, tp=0, ts=0, x0=916909018, x1=622103062
C, tp=0, ts=0, x0=590560446, x1=1000001
C, tp=0, ts=0, x0=998984465, x1=1000001
B, tp=0, ts=0, x0=398651575, x1=776945631
B, tp=0, ts=0, x0=133433564, x1=18175168
B, tp=0, ts=0, x0=267110126, x1=790198334
B, tp=0, ts=0, x0=566259317, x1=358350965
A, tp=0, ts=0, x0=273847090, x1=13529
B, tp=0, ts=0, x0=1810658, x1=740633614
C, tp=0, ts=0, x0=599274957, x1=1000001
B, tp=0, ts=0, x0=512398701, x1=35139621
C, tp=0, ts=0, x0=756510529, x1=1000002
B, tp=0, ts=0, x0=942337079, x1=236186481
B, tp=0, ts=0, x0=264344249, x1=837078532
B, tp=0, ts=0, x0=730459549, x1=381143339
C, tp=0, ts=0, x0=483981300, x1=1000002
C, tp=0, ts=0, x0=97341898, x1=1000001
C, tp=0, ts=0, x0=384504036, x1=1000001
B, tp=0, ts=0, x0=380195616, x1=778625433
C, tp=0, ts=0, x0=784976499, x1=1000001
B, tp=0, ts=0, x0=69552189, x1=53357964
C, tp=0, ts=0, x0=173189939, x1=1000001
C, tp=0, ts=0, x0=946709858, x1=1000002
C, tp=0, ts=0, x0=931540121, x1=1000001
B, tp=0, ts=0, x0=834558818, x1=429566989
B, tp=0, ts=0, x0=795496846, x1=778829857
B, tp=0, ts=0, x0=290477442, x1=945624962
B, tp=0, ts=0, x0=115918784, x1=716646189
C, tp=0, ts=0, x0=599660840, x1=1000001
C, tp=0, ts=0, x0=110967963, x1=1000003
C, tp=0, ts=0, x0=689836355, x1=1000002
A, tp=0, ts=0, x0=546325054, x1=5
C, tp=0, ts=0, x0=924281823, x1=1000001
C, tp=0, ts=0, x0=999890423, x1=1000001
B, tp=0, ts=0, x0=8018626, x1=298806222
C, tp=0, ts=0, x0=183126695, x1=1000002
B, tp=0, ts=0, x0=211859559, x1=769765858
B, tp=0, ts=0, x0=707547435, x1=855592360
B, tp=0, ts=0, x0=448796934, x1=71760269
B, tp=0, ts=0, x0=865181865, x1=402995491
A, tp=0, ts=0, x0=36975499, x1=5
C, tp=0, ts=0, x0=851873055, x1=1000001
B, tp=0, ts=0, x0=239948681, x1=561428467
C, tp=0, ts=0, x0=434745195, x1=1000001
B, tp=0, ts=0, x0=537664695, x1=161100229
B, tp=0, ts=0, x0=911047790, x1=796141936
B, tp=0, ts=0, x0=824569142, x1=111275670
C, tp=0, ts=0, x0=815131776, x1=1000001
C, tp=0, ts=0, x0=680751462, x1=1000015
B, tp=0, ts=0, x0=144508844, x1=321795785
C, tp=0, ts=0, x0=598148677, x1=1000001
A, tp=0, ts=0, x0=417410914, x1=5
B, tp=0, ts=0, x0=335346443, x1=307569339
B, tp=0, ts=0, x0=871168064, x1=859290034
C, tp=0, ts=0, x0=239687544, x1=1000010
C, tp=0, ts=0, x0=271089432, x1=1000001
C, tp=0, ts=0, x0=416857198, x1=1000001
B, tp=0, ts=0, x0=473237444, x1=67734033
B, tp=0, ts=0, x0=640989075, x1=2993491
B, tp=0, ts=0, x0=463024624, x1=78592529
C, tp=0, ts=0, x0=430947864, x1=1000001
C, tp=0, ts=0, x0=41744616, x1=1000001
C, tp=0, ts=0, x0=539616166, x1=1000003
B, tp=0, ts=0, x0=636752185, x1=802591898
B, tp=0, ts=0, x0=326394494, x1=821078147
C, tp=0, ts=0, x0=919747928, x1=1000001
C, tp=0, ts=0, x0=670104802, x1=1000007
C, tp=0, ts=0, x0=968393584, x1=1000001
C, tp=0, ts=0, x0=450586134, x1=1000001
C, tp=0, ts=0, x0=797581191, x1=1000003
C, tp=0, ts=0, x0=375567708, x1=1000001
C, tp=0, ts=0, x0=934255303, x1=1000001
C, tp=0, ts=0, x0=891823365, x1=1000002
B, tp=0, ts=0, x0=67092447, x1=222780374
C, tp=0, ts=0, x0=708761503, x1=1000001
B, tp=0, ts=0, x0=480201077, x1=660470418
B, tp=0, ts=0, x0=850073977, x1=37994184
B, tp=0, ts=0, x0=696326697, x1=533458712
C, tp=0, ts=0, x0=769613344, x1=1000004
B, tp=0, ts=0, x0=815458010, x1=564776004
B, tp=0, ts=0, x0=726829348, x1=509250349
B, tp=0, ts=0, x0=152135694, x1=619035208
B, tp=0, ts=0, x0=580327037, x1=9840513
C, tp=0, ts=0, x0=167796785, x1=1000005
B, tp=0, ts=0, x0=438968048, x1=343569568
C, tp=0, ts=0, x0=221732279, x1=1000020
B, tp=0, ts=0, x0=166860687, x1=844540193
B, tp=0, ts=0, x0=920178137, x1=810889256
A, tp=0, ts=0, x0=779038458, x1=6
B, tp=0, ts=0, x0=467773337, x1=406763369
C, tp=0, ts=0, x0=690554791, x1=1000001
B, tp=0, ts=0, x0=26081691, x1=327275932
A, tp=0, ts=0, x0=711194168, x1=5
B, tp=0, ts=0, x0=711194168, x1=728254706
B, tp=0, ts=0, x0=800032773, x1=509464076
B, tp=0, ts=0, x0=809194365, x1=197059678
C, tp=0, ts=0, x0=419539205, x1=1000001
B, tp=0, ts=0, x0=690209791, x1=263432975
B, tp=0, ts=0, x0=111882559, x1=259504913
C, tp=0, ts=0, x0=543039482, x1=1000009
A, tp=0, ts=0, x0=336680338, x1=5
B, tp=0, ts=0, x0=501790190, x1=831459980
B, tp=0, ts=0, x0=288518290, x1=229080230
C, tp=0, ts=0, x0=11948039, x1=1000001
B, tp=0, ts=0, x0=603751238, x1=543832568
B, tp=0, ts=0, x0=746621668, x1=477347654
C, tp=0, ts=0, x0=788811214, x1=1000001
A, tp=0, ts=0, x0=913277819, x1=101
B, tp=0, ts=0, x0=524030638, x1=527736696
C, tp=0, ts=0, x0=781138531, x1=1000001
C, tp=0, ts=0, x0=7250155, x1=1000001
B, tp=0, ts=0, x0=386395435, x1=365213220
C, tp=0, ts=0, x0=751108195, x1=1000002
C, tp=0, ts=0, x0=834021682, x1=1000002
B, tp=0, ts=0, x0=150554255, x1=328174757
C, tp=0, ts=0, x0=550709780, x1=1000002
C, tp=0, ts=0, x0=446264538, x1=1000001
C, tp=0, ts=0, x0=997815910, x1=1000001
B, tp=0, ts=0, x0=325357354, x1=887226265
B, tp=0, ts=0, x0=549453481, x1=690465554
C, tp=0, ts=0, x0=825329361, x1=1000002
C, tp=0, ts=0, x0=217063529, x1=1000006
B, tp=0, ts=0, x0=875945045, x1=242688461
B, tp=0, ts=0, x0=16487533, x1=649072153
B, tp=0, ts=0, x0=341215532, x1=260244594
C, tp=0, ts=0, x0=795843957, x1=1000001
B, tp=0, ts=0, x0=221325351, x1=413512089
B, tp=0, ts=0, x0=361839242, x1=159101889
C, tp=0, ts=0, x0=422741032, x1=1000001
B, tp=0, ts=0, x0=523827914, x1=907530258
C, tp=0, ts=0, x0=700060299, x1=1000001
C, tp=0, ts=0, x0=579023304, x1=1000004
B, tp=0, ts=0, x0=390550637, x1=165851180
B, tp=0, ts=0, x0=895818036, x1=843497642
B, tp=0, ts=0, x0=744908948, x1=137992868
B, tp=0, ts=0, x0=304453852, x1=635636920
C, tp=0, ts=0, x0=583211064, x1=1000001
B, tp=0, ts=0, x0=369833068, x1=570314030
A, tp=0, ts=0, x0=785482600, x1=4
C, tp=0, ts=0, x0=455689653, x1=1000001
A, tp=0, ts=0, x0=553029799, x1=7
B, tp=0, ts=0, x0=40325934, x1=350960732
C, tp=0, ts=0, x0=532662708, x1=1000001
B, tp=0, ts=0, x0=246098255, x1=176533466
B, tp=0, ts=0, x0=793960407, x1=560856853
A, tp=0, ts=0, x0=40484624, x1=7
C, tp=0, ts=0, x0=373423368, x1=1000001
C, tp=0, ts=0, x0=15055858, x1=1000002
B, tp=0, ts=0, x0=969796060, x1=93248487
B, tp=0, ts=0, x0=692499752, x1=94561030
B, tp=0, ts=0, x0=568831187, x1=983775701
C, tp=0, ts=0, x0=73363563, x1=1000002
B, tp=0, ts=0, x0=40446854, x1=621948592
C, tp=0, ts=0, x0=564321611, x1=1000001
B, tp=0, ts=0, x0=1670996, x1=636719731
B, tp=0, ts=0, x0=41662971, x1=103802973
A, tp=0, ts=0, x0=894047892, x1=284697119
C, tp=0, ts=0, x0=922949071, x1=1000001
B, tp=0, ts=0, x0=130033783, x1=345412631
C, tp=0, ts=0, x0=960714836, x1=1000001
B, tp=0, ts=0, x0=893572068, x1=684725758
B, tp=0, ts=0, x0=384430192, x1=709376532
B, tp=0, ts=0, x0=483683314, x1=423796512
C, tp=0, ts=0, x0=86608120, x1=1000001
B, tp=0, ts=0, x0=415296438, x1=669194714
A, tp=0, ts=0, x0=599144228, x1=4
C, tp=0, ts=0, x0=924684300, x1=1000001
C, tp=0, ts=0, x0=683164892, x1=1000001
B, tp=0, ts=0, x0=798241164, x1=351579411
B, tp=0, ts=0, x0=780204740, x1=890215589
C, tp=0, ts=0, x0=499874292, x1=1000009
C, tp=0, ts=0, x0=252810946, x1=1000001
B, tp=0, ts=0, x0=542738217, x1=411454617
A, tp=0, ts=0, x0=731308739, x1=4
B, tp=0, ts=0, x0=5381508, x1=803780373
C, tp=0, ts=0, x0=65528112, x1=1000001
C, tp=0, ts=0, x0=586849545, x1=1000003
B, tp=0, ts=0, x0=108796963, x1=375071955
B, tp=0, ts=0, x0=427216605, x1=469870029
C, tp=0, ts=0, x0=777848935, x1=1000001
B, tp=0, ts=0, x0=119944809, x1=769036354
C, tp=0, ts=0, x0=730871294, x1=1000001
A, tp=0, ts=0, x0=773794741, x1=4
B, tp=0, ts=0, x0=630075900, x1=102351638
C, tp=0, ts=0, x0=38991958, x1=1000004
A, tp=0, ts=0, x0=772942510, x1=4
C, tp=0, ts=0, x0=988339734, x1=1000019
A, tp=0, ts=0, x0=96176100, x1=4
B, tp=0, ts=0, x0=96176100, x1=370022548
C, tp=0, ts=0, x0=705772559, x1=1000001
B, tp=0, ts=0, x0=393215542, x1=723358379
C, tp=0, ts=0, x0=107693549, x1=1000002
C, tp=0, ts=0, x0=330156204, x1=1000001
B, tp=0, ts=0, x0=257156411, x1=839547800
B, tp=0, ts=0, x0=679670003, x1=231520680
B, tp=0, ts=0, x0=45690255, x1=769575723
B, tp=0, ts=0, x0=109490226, x1=36093954
B, tp=0, ts=0, x0=509598937, x1=991491769
C, tp=0, ts=0, x0=456354557, x1=1000003
B, tp=0, ts=0, x0=554486212, x1=816957291
A, tp=0, ts=0, x0=933241034, x1=5
C, tp=0, ts=0, x0=440579536, x1=1000001
B, tp=0, ts=0, x0=847806738, x1=909211697
C, tp=0, ts=0, x0=275284557, x1=1000006
B, tp=0, ts=0, x0=251666730, x1=814578709
B, tp=0, ts=0, x0=151128917, x1=529287832
B, tp=0, ts=0, x0=723093856, x1=441314721
C, tp=0, ts=0, x0=578101562, x1=1000001
B, tp=0, ts=0, x0=680238312, x1=735572545
B, tp=0, ts=0, x0=419820532, x1=633153593
B, tp=0, ts=0, x0=768435267, x1=144306511
B, tp=0, ts=0, x0=65674948, x1=465594098
C, tp=0, ts=0, x0=950000320, x1=1000002
C, tp=0, ts=0, x0=640693543, x1=1000001
C, tp=0, ts=0, x0=636105593, x1=1000002
C, tp=0, ts=0, x0=841587467, x1=1000002
C, tp=0, ts=0, x0=388400963, x1=1000001
C, tp=0, ts=0, x0=294878454, x1=1000001
C, tp=0, ts=0, x0=829868595, x1=1000001
A, tp=0, ts=0, x0=624701402, x1=114
C, tp=0, ts=0, x0=321223030, x1=1000001
C, tp=0, ts=0, x0=766458360, x1=1000004
A, tp=0, ts=0, x0=751879445, x1=4
B, tp=0, ts=0, x0=561859289, x1=7826973
B, tp=0, ts=0, x0=234689199, x1=784878232
C, tp=0, ts=0, x0=473577938, x1=1000002
B, tp=0, ts=0, x0=578261628, x1=249768058
C, tp=0, ts=0, x0=603749129, x1=1000001
B, tp=0, ts=0, x0=247758567, x1=441828477
B, tp=0, ts=0, x0=868124489, x1=325121513
B, tp=0, ts=0, x0=503786436, x1=124744554
B, tp=0, ts=0, x0=47148981, x1=772096021
C, tp=0, ts=0, x0=359801185, x1=1000003
B, tp=0, ts=0, x0=693563709, x1=739150100
B, tp=0, ts=0, x0=277349066, x1=580762009
A, tp=0, ts=0, x0=234108216, x1=4
C, tp=0, ts=0, x0=492569760, x1=1000002
B, tp=0, ts=0, x0=288018071, x1=777414352
B, tp=0, ts=0, x0=124259389, x1=742926600
C, tp=0, ts=0, x0=86794043, x1=1000001
C, tp=0, ts=0, x0=481044047, x1=1000002
C, tp=0, ts=0, x0=264381233, x1=1000001
B, tp=0, ts=0, x0=34216644, x1=520564082
B, tp=0, ts=0, x0=374557160, x1=761021998
B, tp=0, ts=0, x0=430772694, x1=809919043
A, tp=0, ts=0, x0=134627121, x1=208993576
B, tp=0, ts=0, x0=472669436, x1=798081763
C, tp=0, ts=0, x0=379562252, x1=1000001
B, tp=0, ts=0, x0=788219984, x1=344296223
B, tp=0, ts=0, x0=289743064, x1=269423056
B, tp=0, ts=0, x0=753574239, x1=133443138
B, tp=0, ts=0, x0=996543738, x1=77477873
C, tp=0, ts=0, x0=446562890, x1=1000001
B, tp=0, ts=0, x0=149712567, x1=447036462
C, tp=0, ts=0, x0=470195381, x1=1000001
B, tp=0, ts=0, x0=827103330, x1=194516726
C, tp=0, ts=0, x0=712030295, x1=1000001
C, tp=0, ts=0, x0=674995071, x1=1000001
C, tp=0, ts=0, x0=564609565, x1=1000001
C, tp=0, ts=0, x0=905269911, x1=1000001
C, tp=0, ts=0, x0=995065695, x1=1000001
C, tp=0, ts=0, x0=551695068, x1=1000001
C, tp=0, ts=0, x0=14187405, x1=1000001
B, tp=0, ts=0, x0=62822048, x1=22690255
B, tp=0, ts=0, x0=7625044, x1=316793579
C, tp=0, ts=0, x0=507541927, x1=1000008
B, tp=0, ts=0, x0=58457729, x1=717253404
C, tp=0, ts=0, x0=870680438, x1=1000003
B, tp=0, ts=0, x0=9858324, x1=933375661
B, tp=0, ts=0, x0=683148556, x1=930638453
C, tp=0, ts=0, x0=86128344, x1=1000002
B, tp=0, ts=0, x0=952492002, x1=612495109
B, tp=0, ts=0, x0=240868949, x1=935930550
B, tp=0, ts=0, x0=668751128, x1=296731026
B, tp=0, ts=0, x0=865149973, x1=493942243
B, tp=0, ts=0, x0=11440757, x1=525698637
C, tp=0, ts=0, x0=565912154, x1=1000001
A, tp=0, ts=0, x0=884661193, x1=4
A, tp=0, ts=0, x0=331365285, x1=5
B, tp=0, ts=0, x0=869550133, x1=308775954
C, tp=0, ts=0, x0=738393821, x1=1000001
C, tp=0, ts=0, x0=222285804, x1=1000004
C, tp=0, ts=0, x0=282112143, x1=1000001
C, tp=0, ts=0, x0=119346801, x1=1000001
B, tp=0, ts=0, x0=324679084, x1=147151412
B, tp=0, ts=0, x0=611338648, x1=135311043
B, tp=0, ts=0, x0=919691764, x1=798732468
B, tp=0, ts=0, x0=71061185, x1=994777427
B, tp=0, ts=0, x0=59169058, x1=81444046
B, tp=0, ts=0, x0=288140407, x1=105755200
C, tp=0, ts=0, x0=718306278, x1=1000008
C, tp=0, ts=0, x0=919358086, x1=1000243
C, tp=0, ts=0, x0=98717280, x1=1000001
B, tp=0, ts=0, x0=779537055, x1=46391003
B, tp=0, ts=0, x0=824541331, x1=593355569
C, tp=0, ts=0, x0=116517325, x1=1000001
B, tp=0, ts=0, x0=309709603, x1=141337904
C, tp=0, ts=0, x0=550592874, x1=1000001
B, tp=0, ts=0, x0=756839453, x1=746876700
B, tp=0, ts=0, x0=287063508, x1=784637351
C, tp=0, ts=0, x0=824160834, x1=1000001
B, tp=0, ts=0, x0=99831746, x1=978344344
B, tp=0, ts=0, x0=44089128, x1=968255679
C, tp=0, ts=0, x0=6027543, x1=1000002
C, tp=0, ts=0, x0=23499221, x1=1000002
B, tp=0, ts=0, x0=191078564, x1=196977100
C, tp=0, ts=0, x0=435719266, x1=1000002
C, tp=0, ts=0, x0=210247928, x1=1000003
A, tp=0, ts=0, x0=104931714, x1=4
C, tp=0, ts=0, x0=942445193, x1=1000001
C, tp=0, ts=0, x0=94075701, x1=1000001
C, tp=0, ts=0, x0=489932132, x1=1000001
C, tp=0, ts=0, x0=779271855, x1=1000003
C, tp=0, ts=0, x0=556223561, x1=1000002
C, tp=0, ts=0, x0=814074176, x1=1000001
B, tp=0, ts=0, x0=153840673, x1=163535602
B, tp=0, ts=0, x0=732844768, x1=401591601
B, tp=0, ts=0, x0=301837182, x1=62773741
C, tp=0, ts=0, x0=143749850, x1=1000003
A, tp=0, ts=0, x0=227066681, x1=5
B, tp=0, ts=0, x0=622813240, x1=596243856
C, tp=0, ts=0, x0=506908242, x1=1000001
A, tp=0, ts=0, x0=961775243, x1=4
A, tp=0, ts=0, x0=878420354, x1=4
B, tp=0, ts=0, x0=916125077, x1=51563012
B, tp=0, ts=0, x0=756337731, x1=24760430
B, tp=0, ts=0, x0=187992841, x1=670580299
